name,link,edition,author,release,ratings,rating_counts,price,genres
चालू घडामोडी इयर बुक 2023/ Chalu Ghadamodi year book 2023,/%E0%A4%9A%E0%A4%BE%E0%A4%B2%E0%A5%82-%E0%A4%98%E0%A4%A1%E0%A4%BE%E0%A4%AE%E0%A5%8B%E0%A4%A1%E0%A5%80-2023-Chalu-Ghadamodi/dp/B0BQ79FRT2,Marathi Edition , by DEVA JADHAVAR , 14 December 2022,,,300,
TT-POWER (26 x 19 Big Size) (4 Books 4 Pen 4 Hand Grip 20 Refill) Big Size Magic Book Kids Magical Handwriting Reusable Book 3+ Age Preschoolers,/TT-POWER-Magical-Handwriting-Reusable-Preschoolers/dp/B0BG8XVPFF,,by TT-POWER , 25 September 2021,5.0,5  ,999,
Price Action Trading : Technical Analysis Simplified!,/Price-Action-Trading-Technical-Simplified/dp/8195261612,,by Sunil Gurjar (Chartmojo) , 1 January 2021,4.3,"1,410  ",350,in Investments & Securities
Examcart KVS PRT Pedagogy Hindi Medium Textbook - Perspective on Education & Leadership for 2023 Exam (Prateek Shivalik),/Shaikshik-Drastikon-Evam-Netratav-TBHM-2023/dp/9357031308,Hindi Edition , by Examcart Experts and Prateek Shivalik , 1 January 2022,,,269,
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),/First-Book-Patterns-Pencil-Control/dp/9387779319,,by Wonder House Books  , 25 April 2018,4.4,"22,872  ",140,
"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",/Colouring-Books-Set-10/dp/9350332167,,by Maple Press  , 1 January 2020,4.3,"1,936  ",300,in Painting
"Human Psychology: 4 Books in 1. How to Analyze People + Manipulation Techniques + Dark Psychology + Enneagram: Powerful Guides to Learn Persuasion, Mind Control, Body Language and People's Behaviour",/Human-Psychology-Manipulation-Techniques-Persuasion-ebook/dp/B085S7T78X,,by Richard Campbell  , 10 March 2020,4.1,54  ,"4,270.47",
Mandala Art: Colouring books for Adults with tear out sheets,/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601,,by Wonder House Books  , 1 January 2018,4.6,"4,925  ",249,in Art Encyclopedias
Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X,Hindi Edition , by Brijbhoomi Books And Handicrafts , 1 January 2019,4.8,"14,564  ",460,in Religion Encyclopedias
"Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",/Moral-Story-Books-Kids-Set/dp/9391129811,,by Maple Press  , 1 August 2021,4.5,906  ,350,
My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers,/My-First-ABC-Sticker-Book/dp/9388144937,,by Wonder House Books  , 25 November 2018,4.4,"2,252  ",225,in Games & Quizzes
Brain Boosting Activity Book for Kids – 200+ Activities for Age 3+,/Brain-Boosting-Activity-Book-Kids/dp/9391129668,,by Maple Press  , 1 August 2021,4.4,560  ,125,
