name,link,paperlink
The Reaper: An Enemies to Lovers Dark Romance (Dark Verse Book 2),https://www.amazon.in/Reaper-Dark-Verse-Book-ebook/dp/B08CSXT48G/ref=zg_bs_1318161031_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/The-Reaper/dp/B08CN4L61S/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
"The Krishna Key, Bharat Series 3",https://www.amazon.in/Krishna-Key-Bharat-3/dp/9356292396/ref=zg_bs_1318161031_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Krishna-Key-Bharat-3/dp/9356292396/ref=zg_bs_1318161031_sccl_5/000-0000000-0000000?psc=1
The ABC Murders (Poirot),https://www.amazon.in/ABC-Murders-Poirot-Agatha-Christie/dp/0007527535/ref=zg_bs_1318161031_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/ABC-Murders-Poirot-Agatha-Christie/dp/0007527535/ref=zg_bs_1318161031_sccl_6/000-0000000-0000000?psc=1
No Plan B: The unputdownable new 2022 Jack Reacher thriller from the No.1 bestselling authors,https://www.amazon.in/No-Plan-Jack-Reacher-Book-ebook/dp/B09PZTSSVF/ref=zg_bs_1318161031_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/No-Plan-Jack-Reacher-27/dp/1787633764/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
Hamlet,https://www.amazon.in/Hamlet-William-Shakespeare/dp/8175992921/ref=zg_bs_1318161031_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Hamlet-William-Shakespeare/dp/8175992921/ref=zg_bs_1318161031_sccl_8/000-0000000-0000000?psc=1
Owned By A Sinner (The Sinners Series),https://www.amazon.in/Owned-Sinner-Irish-Romance-Sinners-ebook/dp/B09VZ94XJF/ref=zg_bs_1318161031_sccl_9/000-0000000-0000000?psc=1,
"The Rozabal Line, Bharat Series 1",https://www.amazon.in/Rozabal-Line-Bharat-1/dp/9356291934/ref=zg_bs_1318161031_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Rozabal-Line-Bharat-1/dp/9356291934/ref=zg_bs_1318161031_sccl_10/000-0000000-0000000?psc=1
"The Sleepover: The BRAND NEW unputdownable, page-turning psychological thriller from bestseller Keri Beevis",https://www.amazon.in/Sleepover-unputdownable-page-turning-psychological-bestseller-ebook/dp/B0B2J7RVK1/ref=zg_bs_1318161031_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/Sleepover-unputdownable-page-turning-psychological-bestseller/dp/1804151238/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
Vidindhal Iravu (Tamil Edition),https://www.amazon.in/Vidindhal-Iravu-Tamil-Rajesh-Kumar-ebook/dp/B086XF2WH1/ref=zg_bs_1318161031_sccl_12/000-0000000-0000000?psc=1,
You Are Being Watched,https://www.amazon.in/You-Being-Watched-Diptendu-Chakraborty/dp/B0BNL47FYN/ref=zg_bs_1318161031_sccl_13/000-0000000-0000000?psc=1,https://www.amazon.in/You-Being-Watched-Diptendu-Chakraborty/dp/B0BNL47FYN/ref=zg_bs_1318161031_sccl_13/000-0000000-0000000?psc=1
