name,link,genres,image,rank,author,author_link,ratings,counts,reviews
Autobiography of a Yogi,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/dp/8172345364/ref=zg_bs_4149493031_sccl_13/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/81Wcl+THtcL._AC_UL300_SR300,200_.jpg",13,Paramahansa Yogananda,https://www.amazon.in/Paramahansa-Yogananda/e/B00KC1KO80/ref=zg_bs_4149493031_bl_sccl_13/000-0000000-0000000,4.6 out of 5 stars,"8,748",https://www.amazon.in/product-reviews/8172345364/ref=zg_bs_4149493031_cr_sccl_13/000-0000000-0000000
Start With Why: The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,https://www.amazon.in/Start-Why-Leaders-Inspire-Everyone/dp/0241958229/ref=zg_bs_4149493031_sccl_14/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71jW2qrp+SL._AC_UL300_SR300,200_.jpg",14,Simon Sinek,https://www.amazon.in/Simon-Sinek/e/B002CB2SDC/ref=zg_bs_4149493031_bl_sccl_14/000-0000000-0000000,4.5 out of 5 stars,"13,993",https://www.amazon.in/product-reviews/0241958229/ref=zg_bs_4149493031_cr_sccl_14/000-0000000-0000000
TINKLE DOUBLE DIGEST 8,https://www.amazon.in/TINKLE-DOUBLE-DIGEST-ANANT-PAI-ebook/dp/B075QFXP8P/ref=zg_bs_4149493031_sccl_15/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/81VPd9QxDnL._AC_UL300_SR300,200_.jpg",15,ANANT PAI,,4.4 out of 5 stars,181,https://www.amazon.in/product-reviews/B075QFXP8P/ref=zg_bs_4149493031_cr_sccl_15/000-0000000-0000000
Sapiens,https://www.amazon.in/Sapiens/dp/B079C1B3H6/ref=zg_bs_4149493031_sccl_16/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/81EOCTUSCLL._AC_UL300_SR300,200_.jpg",16,Yuval Noah Harari,,4.7 out of 5 stars,"52,538",https://www.amazon.in/product-reviews/B079C1B3H6/ref=zg_bs_4149493031_cr_sccl_16/000-0000000-0000000
"Kitne Ghazi Aaye, Kitne Ghazi Gaye (Copies Signed by the Author)",https://www.amazon.in/Kitne-Ghazi-Copies-Signed-Author/dp/0670097055/ref=zg_bs_4149493031_sccl_17/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/818-zrn4yhL._AC_UL300_SR300,200_.jpg",17,Lt Gen KJS 'Tiny' Dhillon,,,,
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055/ref=zg_bs_4149493031_sccl_18/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71ygf-LciIS._AC_UL300_SR300,200_.jpg",18,Sudha Murty,,4.6 out of 5 stars,"8,384",https://www.amazon.in/product-reviews/0143440055/ref=zg_bs_4149493031_cr_sccl_18/000-0000000-0000000
A Brief History Of Time: From Big Bang To Black Holes,https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211/ref=zg_bs_4149493031_sccl_19/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/81DBK93b6jL._AC_UL300_SR300,200_.jpg",19,Stephen Hawking,https://www.amazon.in/Stephen-Hawking/e/B000AP5X0M/ref=zg_bs_4149493031_bl_sccl_19/000-0000000-0000000,4.6 out of 5 stars,"16,559",https://www.amazon.in/product-reviews/0553175211/ref=zg_bs_4149493031_cr_sccl_19/000-0000000-0000000
Wise and Otherwise: A salute to Life,https://www.amazon.in/Wise-Otherwise-salute-Sudha-Murty/dp/0143062220/ref=zg_bs_4149493031_sccl_20/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71LaJylkUvL._AC_UL300_SR300,200_.jpg",20,Sudha Murty,,4.6 out of 5 stars,"5,360",https://www.amazon.in/product-reviews/0143062220/ref=zg_bs_4149493031_cr_sccl_20/000-0000000-0000000
Bravehearts of Bharat: Vignettes from Indian History,https://www.amazon.in/Bravehearts-Bharat-Vignettes-Indian-History/dp/0670094684/ref=zg_bs_4149493031_sccl_21/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/81MO3bY+QrL._AC_UL300_SR300,200_.jpg",21,Vikram Sampath,https://www.amazon.in/Vikram-Sampath/e/B001JOQDA2/ref=zg_bs_4149493031_bl_sccl_21/000-0000000-0000000,4.7 out of 5 stars,79,https://www.amazon.in/product-reviews/0670094684/ref=zg_bs_4149493031_cr_sccl_21/000-0000000-0000000
The Song Of The Cell: An Exploration Of Medicine And The New Human,https://www.amazon.in/Song-Cell-Exploration-Medicine-Human/dp/067009272X/ref=zg_bs_4149493031_sccl_22/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/818OVMk5orL._AC_UL300_SR300,200_.jpg",22,Siddhartha Mukherjee,https://www.amazon.in/Siddhartha-Mukherjee/e/B003SNL6EA/ref=zg_bs_4149493031_bl_sccl_22/000-0000000-0000000,4.6 out of 5 stars,467,https://www.amazon.in/product-reviews/067009272X/ref=zg_bs_4149493031_cr_sccl_22/000-0000000-0000000
A Life in the Shadows : A Memoir,https://www.amazon.in/Life-Shadows-Memoir-S-Dulat/dp/9356295964/ref=zg_bs_4149493031_sccl_23/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/41iUdP0aG3L._AC_UL300_SR300,200_.jpg",23,A.S. Dulat,https://www.amazon.in/A-S-Dulat/e/B076GYDQTM/ref=zg_bs_4149493031_bl_sccl_23/000-0000000-0000000,4.6 out of 5 stars,3,https://www.amazon.in/product-reviews/9356295964/ref=zg_bs_4149493031_cr_sccl_23/000-0000000-0000000
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/B08XN477C3/ref=zg_bs_4149493031_sccl_24/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71-n-jawfLL._AC_UL300_SR300,200_.jpg",24,Eric Jorgenson,,4.7 out of 5 stars,"11,887",https://www.amazon.in/product-reviews/B08XN477C3/ref=zg_bs_4149493031_cr_sccl_24/000-0000000-0000000
