maincategory,subcategory,category,link,alt_link,iteration,qid,ref
5,sports & fitness,Camping & Hiking,https://www.amazon.in/gp/browse.html?node=1984988031&ref_=nav_em_sbc_sportslugg_camping_0_2_14_7,https://www.amazon.in/s?rh=n%3A1984988031&fs=true,400,1678610026,sr_pg_1
5,sports & fitness,Fitness Accessories,https://www.amazon.in/gp/browse.html?node=3403925031&ref_=nav_em_sbc_sportslugg_fitness_acc_0_2_14_8,https://www.amazon.in/s?rh=n%3A3403925031&fs=true,400,1678610028,sr_pg_1
5,sports & fitness,Yoga,https://www.amazon.in/gp/browse.html?node=3403935031&ref_=nav_em_sbc_sportslugg_yoga_0_2_14_9,https://www.amazon.in/s?rh=n%3A3403935031&fs=true,400,1678610030,sr_pg_1
5,sports & fitness,Strength Training,https://www.amazon.in/gp/browse.html?node=3403933031&ref_=nav_em_sbc_sportslugg_strength_0_2_14_10,https://www.amazon.in/s?rh=n%3A3403933031&fs=true,400,1678610032,sr_pg_1
5,sports & fitness,Cardio Equipment,https://www.amazon.in/gp/browse.html?node=3403926031&ref_=nav_em_sbc_sportslugg_cardio_0_2_14_11,https://www.amazon.in/s?rh=n%3A3403926031&fs=true,94,1678610034,sr_pg_1
5,sports & fitness,Sports Collectibles,https://www.amazon.in/gp/browse.html?node=14158326031&ref_=nav_em_sbc_sportslugg_collectibles_0_2_14_12,https://www.amazon.in/s?rh=n%3A14158326031&fs=true,8,1678610036,sr_pg_1
5,sports & fitness,Refurbished & Open Box,https://www.amazon.in/gp/browse.html?node=15290772031&ref_=nav_em_sbc_sports_certfied_refurbished_0_2_14_13,https://www.amazon.in/s?rh=n%3A15290772031&fs=true,0,,
5,sports & fitness,All Exercise & Fitness,https://www.amazon.in/gp/browse.html?node=3403635031&ref_=nav_em_sbc_sportslugg_exercise_0_2_14_14,https://www.amazon.in/s?rh=n%3A3403635031&fs=true,400,1678610039,sr_pg_1
5,sports & fitness,"All Sports, Fitness & Outdoors",https://www.amazon.in/gp/browse.html?node=1984443031&ref_=nav_em_sbc_sportslugg_all_sports_0_2_14_15,https://www.amazon.in/s?rh=n%3A1984443031&fs=true,400,1678610041,sr_pg_1
5,bags & luggage,Backpacks,https://www.amazon.in/gp/browse.html?node=2917430031&ref_=nav_em_sbc_sportslugg_backpacks_0_2_14_17,https://www.amazon.in/s?rh=n%3A2917430031&fs=true,400,1678610043,sr_pg_1
5,bags & luggage,Rucksacks,https://www.amazon.in/gp/browse.html?node=1984997031&ref_=nav_em_sbc_sportslugg_rucksacks_0_2_14_18,https://www.amazon.in/s?rh=n%3A1984997031&fs=true,400,1678610047,sr_pg_1
5,bags & luggage,Suitcases & Trolley Bags,https://www.amazon.in/gp/browse.html?node=2917450031&ref_=nav_em_sbc_sportslugg_checkinbags_0_2_14_19,https://www.amazon.in/s?rh=n%3A2917450031&fs=true,195,1678610049,sr_pg_1
5,bags & luggage,Travel Duffles,https://www.amazon.in/gp/browse.html?node=2917451031&ref_=nav_em_sbc_sportslugg_duffles_0_2_14_20,https://www.amazon.in/s?rh=n%3A2917451031&fs=true,291,1678610052,sr_pg_1
5,bags & luggage,Travel Accessories,https://www.amazon.in/gp/browse.html?node=2917434031&ref_=nav_em_sbc_sportslugg_travelacc_0_2_14_21,https://www.amazon.in/s?rh=n%3A2917434031&fs=true,400,1678610055,sr_pg_1
5,bags & luggage,Wallets,https://www.amazon.in/gp/browse.html?node=2917484031&ref_=nav_em_sbc_sportslugg_wallets_0_2_14_22,https://www.amazon.in/s?rh=n%3A2917484031&fs=true,400,1678610058,sr_pg_1
6,toys & baby products,Toys & Games,https://www.amazon.in/gp/browse.html?node=1350380031&ref_=nav_em_sbc_tbk_toys_games_0_2_15_2,https://www.amazon.in/s?rh=n%3A1350380031&fs=true,400,1678610060,sr_pg_1
6,toys & baby products,Baby Products,https://www.amazon.in/gp/browse.html?node=1571274031&ref_=nav_em_sbc_tbk_baby_products_0_2_15_3,https://www.amazon.in/s?rh=n%3A1571274031&fs=true,400,1678610062,sr_pg_1
6,toys & baby products,Diapers,https://www.amazon.in/gp/browse.html?node=1953345031&ref_=nav_em_sbc_tbk_diapers_0_2_15_4,https://www.amazon.in/s?rh=n%3A1953345031&fs=true,400,1678610064,sr_pg_1
6,toys & baby products,Toys Gifting Store,https://www.amazon.in/gp/browse.html?node=12187967031&ref_=nav_em_sbc_tbk_toysgiftstore_0_2_15_5,https://www.amazon.in/s?rh=n%3A12187967031&fs=true,13,1678610067,sr_pg_1
6,toys & baby products,STEM Toys Store,https://www.amazon.in/gp/browse.html?node=9783607031&ref_=nav_em_sbc_tbk_stemtoys_0_2_15_6,https://www.amazon.in/s?rh=n%3A9783607031&fs=true,9,1678610069,sr_pg_1
6,toys & baby products,International Toy Store,https://www.amazon.in/gp/browse.html?node=8988918031&ref_=nav_em_sbc_tbk_intltoys_0_2_15_7,https://www.amazon.in/s?rh=n%3A8988918031&fs=true,17,1678610075,sr_pg_1
6,toys & baby products,"Baby Bath, Skin & Grooming",https://www.amazon.in/gp/browse.html?node=1953111031&ref_=nav_em_sbc_tbk_babybath_0_2_15_8,https://www.amazon.in/s?rh=n%3A1953111031&fs=true,400,1678610077,sr_pg_1
6,toys & baby products,Strollers & Prams,https://www.amazon.in/gp/browse.html?node=1953480031&ref_=nav_em_sbc_tbk_strollers_0_2_15_9,https://www.amazon.in/s?rh=n%3A1953480031&fs=true,284,1678610079,sr_pg_1
6,toys & baby products,Nursing & Feeding,https://www.amazon.in/gp/browse.html?node=1953448031&ref_=nav_em_sbc_tbk_nursing_0_2_15_10,https://www.amazon.in/s?rh=n%3A1953448031&fs=true,400,1678610081,sr_pg_1
6,toys & baby products,Subscribe & Save,https://www.amazon.in/gp/browse.html?node=5728645031&ref_=nav_em_sbc_tbk_sns_0_2_15_11,https://www.amazon.in/s?rh=n%3A5728645031&fs=true,20,1678610084,sr_pg_1
6,toys & baby products,Pantry,https://www.amazon.in/gp/browse.html?node=9574332031&ref_=nav_em_sbc_tbk_pantry_0_2_15_12,https://www.amazon.in/s?rh=n%3A9574332031&fs=true,7,1678610086,sr_pg_1
6,kids' fashion,Kids' Clothing,https://www.amazon.in/gp/browse.html?node=4091091031&ref_=nav_em_sbc_tbk_kids_clothing_0_2_15_14,https://www.amazon.in/s?rh=n%3A4091091031&fs=true,400,1678610088,sr_pg_1
6,kids' fashion,Kids' Shoes,https://www.amazon.in/gp/browse.html?node=4091095031&ref_=nav_em_sbc_tbk_kids_shoes_0_2_15_15,https://www.amazon.in/s?rh=n%3A4091095031&fs=true,400,1678610091,sr_pg_1
6,kids' fashion,School Bags,https://www.amazon.in/gp/browse.html?node=2917444031&ref_=nav_em_sbc_tbk_school_bags_0_2_15_16,https://www.amazon.in/s?rh=n%3A2917444031&fs=true,400,1678610095,sr_pg_1
6,kids' fashion,Kids' Watches,https://www.amazon.in/gp/browse.html?node=8564835031&ref_=nav_em_sbc_tbk_kids_watches_0_2_15_17,https://www.amazon.in/s?rh=n%3A8564835031&fs=true,277,1678610098,sr_pg_1
6,kids' fashion,Kids' Fashion,https://www.amazon.in/gp/browse.html?node=9361420031&ref_=nav_em_sbc_tbk_kids_fashion_0_2_15_18,https://www.amazon.in/s?rh=n%3A9361420031&fs=true,400,1678610101,sr_pg_1
6,kids' fashion,Baby Fashion,https://www.amazon.in/gp/browse.html?node=11987349031&ref_=nav_em_sbc_tbk_baby_fashion_0_2_15_19,https://www.amazon.in/s?rh=n%3A11987349031&fs=true,400,1678610103,sr_pg_1
7,car & motorbike,Motorbike Accessories & Parts,https://www.amazon.in/gp/browse.html?node=5257478031&ref_=nav_em_sbc_auto_bike_acc_0_2_16_2,https://www.amazon.in/s?rh=n%3A5257478031&fs=true,400,1678610106,sr_pg_1
7,car & motorbike,Car Accessories,https://www.amazon.in/gp/browse.html?node=5257474031&ref_=nav_em_sbc_auto_caracc_0_2_16_3,https://www.amazon.in/s?rh=n%3A5257474031&fs=true,400,1678610110,sr_pg_1
7,car & motorbike,Car Electronics,https://www.amazon.in/gp/browse.html?node=1389221031&ref_=nav_em_sbc_auto_carelec_0_2_16_4,https://www.amazon.in/s?rh=n%3A1389221031&fs=true,400,1678610113,sr_pg_1
7,car & motorbike,Car Parts,https://www.amazon.in/gp/browse.html?node=5257475031&ref_=nav_em_sbc_auto_carparts_0_2_16_5,https://www.amazon.in/s?rh=n%3A5257475031&fs=true,400,1678610115,sr_pg_1
7,car & motorbike,Car & Bike Care,https://www.amazon.in/gp/browse.html?node=5257472031&ref_=nav_em_sbc_auto_care_0_2_16_6,https://www.amazon.in/s?rh=n%3A5257472031&fs=true,400,1678610119,sr_pg_1
7,car & motorbike,All Car & Motorbike Products,https://www.amazon.in/gp/browse.html?node=4772060031&ref_=nav_em_sbc_auto_all_0_2_16_7,https://www.amazon.in/s?rh=n%3A4772060031&fs=true,400,1678610121,sr_pg_1
7,industrial supplies,Industrial & Scientific Supplies,https://www.amazon.in/gp/browse.html?node=5866078031&ref_=nav_em_sbc_auto_ind_all_0_2_16_9,https://www.amazon.in/s?rh=n%3A5866078031&fs=true,400,1678610123,sr_pg_1
7,industrial supplies,"Test, Measure & Inspect",https://www.amazon.in/gp/browse.html?node=6395912031&ref_=nav_em_sbc_auto_ind_test_0_2_16_10,https://www.amazon.in/s?rh=n%3A6395912031&fs=true,400,1678610125,sr_pg_1
7,industrial supplies,Lab & Scientific,https://www.amazon.in/gp/browse.html?node=6409335031&ref_=nav_em_sbc_auto_ind_lab_0_2_16_11,https://www.amazon.in/s?rh=n%3A6409335031&fs=true,400,1678610127,sr_pg_1
7,industrial supplies,Janitorial & Sanitation Supplies,https://www.amazon.in/gp/browse.html?node=6563520031&ref_=nav_em_sbc_auto_ind_jansan_0_2_16_12,https://www.amazon.in/s?rh=n%3A6563520031&fs=true,400,1678610130,sr_pg_1
8,books,All Books,https://www.amazon.in/gp/browse.html?node=976389031&ref_=nav_em_sbc_books_all_0_2_17_2,https://www.amazon.in/s?rh=n%3A976389031&fs=true,75,1678610132,sr_pg_1
8,books,Fiction Books,https://www.amazon.in/gp/browse.html?node=1318157031&ref_=nav_em_sbc_books_fiction_0_2_17_3,https://www.amazon.in/s?rh=n%3A1318157031&fs=true,75,1678610135,sr_pg_1
8,books,Editor's Corner,https://www.amazon.in/gp/browse.html?node=10591963031&ref_=nav_em_sbc_books_editorscorner_0_2_17_4,https://www.amazon.in/s?rh=n%3A10591963031&fs=true,0,,
8,books,School Textbooks,https://www.amazon.in/gp/browse.html?node=4149807031&ref_=nav_em_sbc_books_schooltexts_0_2_17_5,https://www.amazon.in/s?rh=n%3A4149807031&fs=true,75,1678610138,sr_pg_1
8,books,Children's Books,https://www.amazon.in/gp/browse.html?node=1318073031&ref_=nav_em_sbc_books_children_0_2_17_6,https://www.amazon.in/s?rh=n%3A1318073031&fs=true,75,1678610141,sr_pg_1
8,books,Exam Central,https://www.amazon.in/gp/browse.html?node=4149751031&ref_=nav_em_sbc_books_examcentral_0_2_17_7,https://www.amazon.in/s?rh=n%3A4149751031&fs=true,75,1678610143,sr_pg_1
8,books,Textbooks,https://www.amazon.in/gp/browse.html?node=4149418031&ref_=nav_em_sbc_books_textbooks_0_2_17_8,https://www.amazon.in/s?rh=n%3A4149418031&fs=true,75,1678610146,sr_pg_1
8,books,Indian Language Books,https://www.amazon.in/gp/browse.html?node=4932325031&ref_=nav_em_sbc_books_indian_0_2_17_9,https://www.amazon.in/s?rh=n%3A4932325031&fs=true,75,1678610148,sr_pg_1
8,books,Kindle eBooks,https://www.amazon.in/gp/browse.html?node=1634753031&ref_=nav_em_sbc_books_ebooks_0_2_17_10,https://www.amazon.in/s?rh=n%3A1634753031&fs=true,400,1678610151,sr_pg_1
8,audible audiobooks,Audible Audiobooks & more,https://www.amazon.in/gp/browse.html?node=11477925031&ref_=nav_em_aud_0_2_17_12,https://www.amazon.in/s?rh=n%3A11477925031&fs=true,0,,
8,audible audiobooks,Audible Membership,https://www.amazon.in/dp/B077S5CVBQ?ref_=nav_em_aud_1_0_2_17_13,,0,,
9,movies & tv shows,All Movies & TV Shows,https://www.amazon.in/gp/browse.html?node=976416031&ref_=nav_em_sbc_mmvg_movies_all_0_2_18_2,https://www.amazon.in/s?rh=n%3A976416031&fs=true,400,1678610153,sr_pg_1
9,movies & tv shows,Blu-ray,https://www.amazon.in/gp/browse.html?node=1575405031&ref_=nav_em_sbc_mmvg_movies_bluray_0_2_18_3,https://www.amazon.in/s?rh=n%3A1575405031&fs=true,400,1678610159,sr_pg_1
9,movies & tv shows,All English,https://www.amazon.in/gp/browse.html?node=4068583031&ref_=nav_em_sbc_mmvg_movies_eng_0_2_18_4,https://www.amazon.in/s?rh=n%3A4068583031&fs=true,400,1678610161,sr_pg_1
9,movies & tv shows,All Hindi,https://www.amazon.in/gp/browse.html?node=4068584031&ref_=nav_em_sbc_mmvg_movies_hindi_0_2_18_5,https://www.amazon.in/s?rh=n%3A4068584031&fs=true,172,1678610163,sr_pg_1
