name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"SKADIOO Wireless Mic for Youtubers, Bluetooth Microphone, Wireless Lavalier Microphone Wireless Microphone for Youtubers C...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/51YlPuGKNpL._AC_UL320_.jpg,https://www.amazon.in/SKADIOO-Youtubers-Bluetooth-Microphone-Compatible/dp/B0BWMYFYRB/ref=sr_1_37?qid=1679133098&s=musical-instruments&sr=1-37,3.8,4,₹699,₹999
"Casio SA-46 32 Mini Keys Musical Keyboard with Piano tones, Black/Green","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/51PKij1yvIL._AC_UL320_.jpg,https://www.amazon.in/Casio-SA-46-Musical-Keyboard-Black/dp/B003KZBFIS/ref=sr_1_38?qid=1679133098&s=musical-instruments&sr=1-38,4.4,"6,885","₹3,130","₹3,295"
"JBL Commercial CSHM10 Handheld Dynamic XLR Unidirectional Microphone With On/Off Switch (Cable Not Included) Black, Medium","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/61SyNfDoR8L._AC_UL320_.jpg,https://www.amazon.in/JBL-Commercial-Handheld-microphone-included/dp/B08SB7KG83/ref=sr_1_39?qid=1679133098&s=musical-instruments&sr=1-39,4.0,"1,590","₹1,199","₹2,650"
(Renewed) Boya BYM1 Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black),"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/61zICp6Ns0L._AC_UL320_.jpg,https://www.amazon.in/Boya-Omnidirectional-Lavalier-Condenser-Microphone/dp/B07QWDTND8/ref=sr_1_43?qid=1679133098&s=musical-instruments&sr=1-43,3.8,884,₹449,₹789
D'Addario EXL120 Nickel Wound 9-42 Super Light Electric Guitar Strings (Nickel),"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/81INRCO2LSL._AC_UL320_.jpg,https://www.amazon.in/DAddario-EXL120-Nickel-Electric-Strings/dp/B0002H0A7E/ref=sr_1_44?qid=1679133098&s=musical-instruments&sr=1-44,4.5,"4,372",₹308,₹410
"Juarez Lindenwood Acoustic Guitar Kit, 38 Inches Cutaway, 38C With Bag, Strings, Pick And Strap, 3TS Sunburst","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/71Iiu7KDOEL._AC_UL320_.jpg,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDTU/ref=sr_1_45?qid=1679133098&s=musical-instruments&sr=1-45,4.0,"5,471","₹1,999","₹6,990"
JUAREZ Octavé JRK661 61-Key Electronic Keyboard Piano with LED Display | Adapter | Key Note Stickers | Mic |Music Sheet St...,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/812eUmpsnsL._AC_UL320_.jpg,https://www.amazon.in/JUAREZ-JRK661-Electronic-Keyboard-Percussions/dp/B08GJT1WQX/ref=sr_1_46?qid=1679133098&s=musical-instruments&sr=1-46,3.9,648,"₹3,209","₹6,500"
TRAXOT T8Z Advance Handheld Wireless Singing Mike Multi-Function Bluetooth Karaoke Mic with Microphone Speaker for All Sma...,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/31IKpCho5kL._AC_UL320_.jpg,https://www.amazon.in/TRAXOT-Handheld-Multi-Function-Bluetooth-Microphone/dp/B0BBSGFN6C/ref=sr_1_47?qid=1679133098&s=musical-instruments&sr=1-47,3.5,203,₹498,"₹2,999"
FIFINE T669 Condenser USB Microphone Kit with Adjustable Scissor Arm Stand Shock Mount for PC and MAC Only (Does not Work ...,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/61dZj2ek3lL._AC_UL320_.jpg,https://www.amazon.in/T669-Condenser-Microphone-Adjustable-Scissor/dp/B07Y1C6GDS/ref=sr_1_48?qid=1679133098&s=musical-instruments&sr=1-48,4.3,"20,300",,
Canon EOS 1500D 24.1 Digital SLR Camera (Black) with EF S18-55 is II Lens,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/914hFeTU2-L._AC_UL320_.jpg,https://www.amazon.in/Canon-1500D-Digital-Camera-S18-55/dp/B07BS4TJ43/ref=sr_1_49?qid=1679133098&s=musical-instruments&sr=1-49,4.4,"9,354","₹37,490","₹39,995"
