name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Lavie Women's Cetan Vertical Sling Bag | Ladies Purse Handbag,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71omD8iuB3L._AC_UL320_.jpg,https://www.amazon.in/Lavie-Cetan-Womens-Sling-Navy/dp/B07G8D2DRD/ref=sr_1_44?qid=1679152724&s=apparel&sr=1-44,4.1,471,"₹1,317","₹3,990"
WOMEN MARKS Women's Handbag (Brown),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41l6VFfhYAL._AC_UL320_.jpg,https://www.amazon.in/Women-Marks-Womens-Handbag-Brown/dp/B01N54QCAL/ref=sr_1_45?qid=1679152724&s=apparel&sr=1-45,3.8,"2,168",₹719,"₹2,199"
Trajectory 100% Vegan Leather 16 Inch Laptop Office Messenger bag for all laptop like Apple MacBook with 2 Years Warranty ...,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91e3-rqkgKL._AC_UL320_.jpg,https://www.amazon.in/Trajectory-Elegant-Messenger-Laptop-Professionals/dp/B07DMMYLM7/ref=sr_1_46?qid=1679152724&s=apparel&sr=1-46,3.7,"1,203","₹1,399","₹2,500"
Lavie Women's Kami Multi-Ultilty Mobile Wallet | Ladies Handbag | Detachable Sling Strap,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81nDhGV80CL._AC_UL320_.jpg,https://www.amazon.in/Lavie-Kami-Womens-Wallet-Red/dp/B07G8D2DQ4/ref=sr_1_47?qid=1679152724&s=apparel&sr=1-47,4.0,948,₹599,"₹1,890"
LAPIS O LUPO Women Fashion Cross-body Leatherette Adjustable Sling Bags…,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Y+yKTyhiL._AC_UL320_.jpg,https://www.amazon.in/Lapis-Lupo-Womens-Llsl0015Tq-Turquoise/dp/B071CV8856/ref=sr_1_48?qid=1679152724&s=apparel&sr=1-48,4.1,"1,056",₹462,"₹1,099"
KLEIO Jacquard Stylish Sling bag for Women/Girls,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ec481T0CL._AC_UL320_.jpg,https://www.amazon.in/Kleio-Womens-Canvas-Sling-Multicolour/dp/B079DTB64P/ref=sr_1_49?qid=1679152724&s=apparel&sr=1-49,4.0,431,₹838,"₹1,399"
Trends Unisex Sling Bag (Navy Blue),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ommQEcjcL._AC_UL320_.jpg,https://www.amazon.in/Trends-Light-Weight-Unisex-Sling/dp/B077MP2XFD/ref=sr_1_50?qid=1679152724&s=apparel&sr=1-50,3.9,746,₹329,₹769
TOOBA Women's Grapes Work Box Clutch,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51w4gY97rtL._AC_UL320_.jpg,https://www.amazon.in/Tooba-Womens-Grapes-Clutch-Beige_grapes_7x4/dp/B07B6PNL41/ref=sr_1_51?qid=1679152724&s=apparel&sr=1-51,4.1,"2,388",₹307,"₹4,999"
Caprese Women's Satchel handbag (Blue),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Bm5Kym6DL._AC_UL320_.jpg,https://www.amazon.in/Caprese-Phoenix-Womens-Sling-Blue/dp/B07DR1L45Y/ref=sr_1_52?qid=1679152724&s=apparel&sr=1-52,4.0,66,₹709,"₹2,399"
H&B Jute Lunch Bag (LOVEGRSYWGMN_Maroon),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jTMhm9foL._AC_UL320_.jpg,https://www.amazon.in/Womens-Jute-Bag-Tiffin-Maroon/dp/B07GWP8SDQ/ref=sr_1_53?qid=1679152724&s=apparel&sr=1-53,3.9,994,₹269,₹599
